B-V V
0.44 5.79
0.84 8.92
0.41 5.8
1.41 11.11
0.57 7.4
0.62 7.78
1.64 14.21
0.49 7.3
0.84 8.9
1.52 2.74
0.92 9.36
1.52 13.87
1.53 13.34
1.34 10.85
1.47 12.93
1.62 14.21
0.85 9.51
1.15 10.25
1.54 13.73
1.3 11.15
0.34 5.97
1.58 14.25
0.9 8.99
0.09 14.47
0.46 8.54
1.59 14.4
1.58 13.52
1.54 14.79
1.56 14.03
1.46 11.58
1.58 13.57
1.52 13
1.54 13.42
0.42 6.37
1.56 13.67
1.72 16.13
0.71 8.67
1.75 14.84
1.52 15.21
1.45 11.48
1.67 15.3
1.08 10.17
0.16 14.95
0.36 5.46
1.87 15.89
1.35 11.41
0.9 9.32
1.51 12.83
0.6 7.85
1.56 14.14
1.6 16.13
1.47 13.52
1.18 10.49
0.4 6.01
1.02 9.94
1.44 11.52
1.33 11.28
0.9 9.44
1.52 12.86
0.99 10.86
0.09 15.35
1.2 10.1
1.77 16.12
0.42 6.62
1.44 12.1
1.73 15.63
0.36 5.73
1.65 15.15
1.09 9.38
1.73 16.52
1.65 14.77
1.53 13.99
-0.05 13.86
1.82 15.81
1.65 15.01
0.7 8.46
0.64 8.06
1.64 14.49
0.42 7.05
0.66 8.09
0.51 7.12
1.24 10.74
1.37 11.57
1.29 10.97
1.58 15.2
0.71 7.83
0.4 6.32
1.63 15.14
1.52 14.07
1.45 11.9
1.62 15.33
0.81 9.14
1.54 13.58
1.77 15.85
1.55 14.35
1.22 10.83
1.55 14.46
0.77 8.35
1.79 15.32
1.52 12.65
1.57 15.59
1.53 14.01
1.63 15
0.69 7.53
1.63 14.68
1.8 16.15
0.98 9.48
1.67 16.2
0.98 9.6
1.17 10
0.28 5.65
1.63 15.51
1.42 11.98
0.21 15
0.74 8.62
0.73 8.46
1.45 12.82
1.52 14.03
0.99 3.65
0.56 6.89
0.28 5.59
0.57 7.46
0.37 6.11
1.76 15.34
1.73 15.5
0.22 5.26
0.46 6.17
1.62 16.62
1.74 16.34
1.35 15.63
0.44 6.8
0.44 6.81
0.41 6.61
1.5 15.64
1.72 15.44
1.53 13.44
0.32 5.72
1.19 9.81
1.52 12.66
1.52 13
1.64 14.9
0.56 7
0.68 7.87
0.99 3.76
1.65 13.65
1.66 16.68
1.77 15.82
0.76 8.85
0.91 9.4
1.59 14.94
0.3 5.64
1.27 10.52
0.45 7.18
0.87 9.12
1.59 14.76
1.55 13.3
1.52 12.88
1.31 10.88
-0.06 14.23
1.48 12.53
0.15 4.8
1.2 11.02
0.59 7.61
0.59 8.24
0.52 7.14
1.38 16.13
1.06 9.99
0.44 6.97
1.7 14.98
0.6 7.8
1.87 16.63
1.74 15.35
0.77 8.93
1.53 14.02
1.44 11.61
0.37 5.97
1.04 10.27
1.54 13.19
1.48 12.82
1.73 16.37
1.58 12.61
1.56 13.96
0.14 4.22
0.25 5.28
1.27 11.17
0.04 4.28
0.49 6.46
1.51 14.82
1.73 15.84
0.93 9.01
1.58 16.25
1.69 15.21
0.68 7.53
1.62 15.56
1.48 13.02
1.48 12.18
0.54 7.49
0.54 7.38
0.26 4.28
0.25 4.5
1.74 15.89
0.65 8.08
0.66 8.14
1.38 10.48
1.36 11.24
1.04 9.45
1.15 10.48
1.48 13.05
1.58 15.87
1.09 10.39
1.59 14.69
0.54 7.42
1.86 15.64
0.55 7.51
0.93 9.49
1.22 11.29
1.05 10.14
1.58 14.22
0.27 5.72
0.84 9.03
1.36 11.08
1.43 16.31
0.32 5.9
1.48 12.1
0.95 3.83
0.75 8.64
1.01 3.54
-0.11 13.92
0.18 3.39
0.6 7.82
0.23 5.03
1.31 10.7
1.43 11.97
0.53 6.59
1.53 14.26
1.5 13.21
1.49 12.93
1.49 12.34
1.59 14.72
0.5 7.03
0.45 6.92
1.15 10.34
0.76 9.19
0.83 8.94
1.55 14.21
1.3 11.52
1.46 12.84
0.85 9.05
0.47 7.1
1.52 14.48
1.56 14.68
0.17 4.78
0.84 9.01
0.26 5.41
0.26 5.48
0.43 6.51
0.47 7.04
1.58 14.01
1.58 15.14
0.74 8.6
1.44 11.91
0.99 9.53
1.47 12.25
1.43 12.19
0.34 6.02
1.3 11.07
0.41 6.4
1.57 15.23
0.29 14.02
1.23 11.03
1.55 15.45
1.72 15.1
1.48 11.69
1.1 10.51
1.34 15.02
0.88 8.92
0.74 8.66
1.52 12.62
1.52 13.22
1.49 15.57
1.23 10.7
0.89 9.43
1.2 10.75
1.63 15.28
-0.09 14.21
0.43 6.62
0.25 4.65
1.58 15.08
0.84 8.5
1.44 12.33
1.39 11.73
0.92 9.67
0.63 7.92
1.46 12.35
1.31 11.14
1.48 11.76
1.47 15.07
1.59 15.96
1.62 16.11
1.63 14.91
1.57 15.21
1.51 13.51
0.87 9.4
0.38 6.02
1.51 13.26
0.44 6.65
1.2 9.2
1.45 16.14
0.62 7.54
1.57 15.36
1.36 11.52
0.31 5.79
1.44 16.19
0.12 4.27
1.88 15.8
1.15 10.17
1.73 14.97
0.58 7.53
1.52 14
0.67 7.96
0.25 5.39
0.14 4.7
1.07 10.06
1.38 11.41
0.8 9.41
1.46 13.64
0.29 15.25
1.09 9.47
1.65 15.05
-0.17 13.83
1.6 14.75
1.5 12.88
1.44 11.23
1.51 13.37
1.54 13.28
1 9.86
1.47 14.07
0.25 5.4
0.19 5.37
1.27 10.93
0.66 8.3
0.56 7.26
0.97 9.6
1.06 9.85
1.48 12.28
1.42 11.33
1.12 10.69
1.35 11.54
0.72 8.53
1.17 10.61
1.5 13.09
1.41 11.12
1.47 12.42
0.85 9.06
0.84 8.99
1.52 14
1.04 9.53
0.58 7.74
1.63 14.73
1.16 10.61
0.56 7.11
0.74 7.73
0.5 7.29
0.55 6.77
0.21 5.11
0.53 7.89
1.28 11.38
0.5 6.29
1.07 10.29
1.3 11.54
1.08 10.56
1.54 13.89
0.29 6.37
1.17 10.92
0.74 8.89
0.45 6.76
0.78 9.82
1.36 11.39
0.16 4.64
0.76 9
0.95 9.92
0.73 8.82
1.1 9.9
1.19 11.43
0.26 5.41
0.69 8.59
0.24 6
0.22 5.44
0.7 7.6
0.9 7.6
0.19 4.13
